,Unnamed: 0,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
96,96,6,Electrolux,35.0,K,4.0
97,97,2,Beko,46.0,K,1.5
98,98,8,Electrolux,33.0,K,2.5
99,99,10,Dyson,26.0,M,2.0
100,100,8,Electrolux,41.0,M,1.5
101,101,4,Tefal,49.0,bd.,2.5
103,103,5,Dyson,40.0,K,4.0
104,104,7,Electrolux,52.0,M,1.5
105,105,5,Dyson,49.0,K,3.5
106,106,10,Beko,37.0,K,3.5
108,108,9,Tefal,47.0,M,1.0
109,109,5,Tefal,35.0,K,3.0
110,110,8,Beko,39.0,K,2.5
111,111,5,Electrolux,30.0,K,1.5
112,112,9,Electrolux,53.0,bd.,5.0
113,113,8,Electrolux,48.0,bd.,2.5
114,114,10,Samsung,41.0,K,1.0
115,115,5,Dyson,35.0,bd.,3.0
116,116,4,Electrolux,34.0,K,1.5
117,117,4,Electrolux,38.0,K,2.0
118,118,8,Beko,30.0,M,3.0
119,119,3,Beko,36.0,K,3.0
120,120,7,Samsung,37.0,K,3.0
121,121,6,Dyson,28.0,bd.,2.0
122,122,9,Beko,22.0,K,3.0
123,123,3,Electrolux,36.0,M,2.0
124,124,11,Dyson,53.0,K,1.5
125,125,3,Dyson,42.0,K,0.5
126,126,7,Beko,32.0,K,4.0
127,127,9,Electrolux,68.0,M,3.5
128,128,4,Electrolux,37.0,K,2.0
129,129,7,Dyson,36.0,bd.,3.5
130,130,6,Dyson,27.0,bd.,3.5
131,131,9,Beko,26.0,K,1.0
132,132,9,Beko,48.0,K,4.0
133,133,9,Dyson,36.0,M,1.5
134,134,1,Beko,41.0,M,1.0
135,135,5,Beko,55.0,bd.,0.5
136,136,6,Samsung,49.0,K,5.0
140,140,12,Beko,47.0,K,3.5
141,141,8,Beko,50.0,K,3.5
142,142,5,Beko,30.0,M,3.5
143,143,11,Tefal,62.0,bd.,2.5
145,145,14,Dyson,27.0,bd.,2.0
146,146,5,Dyson,38.0,M,2.0
147,147,4,Dyson,28.0,M,1.5
148,148,5,Dyson,49.0,bd.,2.0
149,149,2,Tefal,52.0,K,1.0
150,150,10,Dyson,45.0,K,3.5
151,151,8,Electrolux,41.0,M,3.0
152,152,8,Dyson,30.0,M,2.5
153,153,7,Electrolux,43.0,K,3.0
154,154,4,Beko,30.0,K,1.5
155,155,10,Dyson,24.0,K,3.5
156,156,6,Beko,38.0,K,2.5
157,157,5,Beko,45.0,M,4.0
158,158,7,Tefal,27.0,M,3.0
159,159,4,Beko,66.0,bd.,2.5
160,160,3,Samsung,47.0,M,2.5
161,161,7,Beko,35.0,K,0.0
162,162,8,Dyson,44.0,bd.,2.0
164,164,6,Beko,36.0,K,1.5
165,165,8,Beko,34.0,M,2.0
166,166,5,Dyson,23.0,bd.,1.5
167,167,2,Electrolux,29.0,bd.,3.0
168,168,8,Electrolux,35.0,M,3.0
169,169,9,Beko,27.0,bd.,1.5
170,170,6,Tefal,28.0,M,2.0
171,171,9,Dyson,36.0,M,3.0
173,173,7,Electrolux,31.0,M,1.5
174,174,8,Beko,39.0,K,3.5
175,175,4,Tefal,38.0,bd.,1.0
176,176,4,Beko,46.0,M,3.5
177,177,9,Samsung,27.0,K,2.5
178,178,7,Beko,50.0,bd.,2.5
179,179,9,Tefal,41.0,K,1.5
180,180,10,Dyson,52.0,M,1.5
181,181,8,Dyson,45.0,K,3.5
183,183,8,Beko,44.0,bd.,2.5
184,184,4,Dyson,45.0,M,3.0
185,185,8,Electrolux,42.0,K,3.5
186,186,8,Dyson,32.0,K,3.0
187,187,8,Electrolux,25.0,K,2.5
188,188,10,Dyson,50.0,bd.,3.5
189,189,9,Beko,42.0,bd.,1.0
190,190,17,Dyson,59.0,M,3.5
192,192,9,Tefal,45.0,K,2.5
193,193,3,Beko,35.0,M,1.0
194,194,5,Beko,38.0,K,3.0
195,195,7,Dyson,42.0,K,3.5
196,196,2,Electrolux,39.0,K,2.0
197,197,8,Electrolux,48.0,M,3.5
198,198,7,Electrolux,33.0,bd.,2.0
199,199,7,Tefal,44.0,M,2.0
200,200,9,Samsung,32.0,bd.,2.0
201,201,6,Electrolux,38.0,bd.,2.5
202,202,9,Beko,36.0,bd.,2.5
205,205,4,Dyson,42.0,bd.,3.0
206,206,7,Electrolux,28.0,K,1.5
207,207,12,Beko,39.0,K,1.0
208,208,6,Electrolux,43.0,K,1.0
209,209,8,Beko,49.0,K,2.5
210,210,7,Beko,49.0,K,2.0
211,211,6,Beko,37.0,K,4.0
212,212,12,Dyson,41.0,bd.,3.0
215,215,10,Dyson,43.0,K,2.5
217,217,6,Dyson,52.0,bd.,3.5
218,218,11,Beko,45.0,bd.,3.0
219,219,6,Dyson,34.0,K,2.0
220,220,6,Tefal,46.0,K,2.0
221,221,11,Electrolux,36.0,bd.,3.0
223,223,8,Tefal,18.0,M,1.0
224,224,7,Beko,43.0,M,4.0
225,225,7,Electrolux,51.0,M,2.5
226,226,8,Dyson,56.0,K,2.0
227,227,5,Electrolux,42.0,bd.,2.5
228,228,7,Dyson,23.0,M,2.5
229,229,7,Tefal,25.0,M,1.0
231,231,8,Tefal,64.0,M,5.0
232,232,10,Beko,34.0,M,3.0
233,233,2,Electrolux,32.0,K,3.5
234,234,4,Tefal,29.0,K,3.5
236,236,10,Beko,52.0,M,1.0
237,237,8,Dyson,56.0,K,2.0
238,238,6,Tefal,44.0,K,1.0
240,240,12,Electrolux,26.0,bd.,1.5
241,241,9,Tefal,33.0,K,2.5
242,242,4,Electrolux,47.0,K,2.0
243,243,11,Beko,50.0,K,3.0
244,244,5,Dyson,26.0,K,2.5
245,245,11,Beko,41.0,M,3.5
246,246,10,Beko,46.0,K,1.5
247,247,9,Dyson,34.0,K,1.5
248,248,7,Tefal,46.0,bd.,2.5
249,249,10,Electrolux,46.0,K,1.5
250,250,7,Beko,46.0,M,2.5
251,251,6,Electrolux,46.0,bd.,0.0
252,252,7,Beko,49.0,M,3.0
253,253,9,Beko,33.0,K,3.5
254,254,5,Beko,38.0,M,1.0
255,255,14,Tefal,38.0,K,2.5
257,257,11,Electrolux,25.0,bd.,2.0
258,258,3,Beko,40.0,M,2.5
259,259,4,Dyson,40.0,K,2.5
260,260,8,Electrolux,21.0,bd.,2.5
261,261,3,Electrolux,38.0,M,3.5
263,263,6,Dyson,44.0,bd.,2.5
264,264,7,Dyson,55.0,K,2.5
265,265,6,Beko,40.0,bd.,2.5
266,266,13,Beko,19.0,bd.,3.5
267,267,10,Dyson,62.0,K,1.5
268,268,6,Dyson,22.0,K,3.5
269,269,9,Beko,33.0,bd.,1.0
270,270,9,Tefal,23.0,M,2.5
272,272,7,Electrolux,35.0,K,2.5
273,273,5,Beko,50.0,K,5.0
274,274,8,Dyson,53.0,K,2.0
275,275,9,Beko,56.0,K,3.5
276,276,5,Electrolux,35.0,K,2.0
277,277,4,Dyson,44.0,K,0.5
278,278,6,Electrolux,28.0,M,2.5
279,279,12,Electrolux,51.0,K,2.0
280,280,9,Dyson,42.0,K,2.5
281,281,5,Dyson,39.0,bd.,2.0
282,282,5,Electrolux,55.0,bd.,3.5
283,283,6,Electrolux,34.0,M,3.0
284,284,6,Dyson,38.0,bd.,3.0
285,285,5,Electrolux,51.0,K,3.0
286,286,4,Dyson,22.0,M,4.0
288,288,5,Dyson,54.0,M,0.5
290,290,9,Dyson,57.0,K,3.0
291,291,9,Electrolux,29.0,K,4.0
293,293,6,Electrolux,32.0,bd.,1.5
294,294,6,Dyson,40.0,M,3.5
296,296,7,Beko,30.0,bd.,1.5
297,297,9,Electrolux,30.0,K,1.5
298,298,7,Dyson,63.0,K,3.5
299,299,14,Dyson,48.0,M,3.5
300,300,3,Beko,45.0,bd.,2.0
301,301,3,Dyson,19.0,bd.,0.5
302,302,4,Dyson,34.0,bd.,1.5
303,303,8,Dyson,28.0,bd.,1.5
304,304,5,Dyson,48.0,M,1.5
305,305,11,Electrolux,66.0,bd.,2.0
306,306,7,Dyson,55.0,bd.,1.5
307,307,10,Dyson,43.0,M,1.5
308,308,5,Electrolux,39.0,bd.,5.0
309,309,4,Dyson,41.0,K,2.5
311,311,14,Beko,37.0,K,1.0
312,312,8,Dyson,44.0,K,3.5
313,313,6,Beko,42.0,bd.,1.0
314,314,6,Beko,42.0,M,2.0
315,315,6,Electrolux,43.0,K,1.5
316,316,3,Beko,52.0,K,3.0
317,317,6,Beko,48.0,bd.,1.0
318,318,6,Electrolux,34.0,bd.,3.5
319,319,12,Dyson,29.0,bd.,2.5
320,320,4,Electrolux,44.0,K,1.5
321,321,7,Electrolux,37.0,K,3.0
322,322,2,Beko,35.0,K,2.0
324,324,5,Dyson,36.0,bd.,1.0
325,325,4,Electrolux,36.0,K,2.5
326,326,11,Electrolux,46.0,bd.,4.5
328,328,1,Dyson,49.0,M,2.5
329,329,9,Samsung,28.0,bd.,1.0
330,330,2,Beko,41.0,K,4.5
331,331,1,Dyson,43.0,K,2.5
332,332,9,Tefal,46.0,M,4.0
333,333,8,Electrolux,46.0,bd.,2.0
334,334,4,Electrolux,36.0,bd.,3.5
335,335,4,Samsung,27.0,K,1.5
337,337,5,Beko,55.0,M,2.0
338,338,7,Beko,50.0,K,3.0
339,339,6,Beko,42.0,K,2.0
340,340,6,Electrolux,44.0,M,2.5
342,342,3,Beko,56.0,bd.,3.0
343,343,6,Electrolux,35.0,M,4.5
344,344,9,Samsung,39.0,K,4.5
345,345,5,Dyson,24.0,K,3.0
346,346,8,Dyson,43.0,M,2.5
347,347,9,Beko,37.0,K,1.5
348,348,12,Beko,27.0,bd.,3.5
349,349,6,Dyson,45.0,bd.,1.0
350,350,7,Beko,36.0,K,4.5
351,351,5,Tefal,20.0,K,2.0
352,352,8,Beko,48.0,K,3.0
353,353,6,Beko,42.0,K,2.5
354,354,5,Beko,37.0,bd.,3.0
355,355,9,Electrolux,20.0,bd.,4.5
356,356,4,Dyson,50.0,bd.,1.0
357,357,11,Beko,56.0,K,4.0
358,358,6,Beko,45.0,K,2.5
359,359,6,Dyson,47.0,K,4.0
360,360,3,Electrolux,42.0,bd.,3.0
361,361,6,Dyson,41.0,K,0.5
362,362,8,Tefal,33.0,K,2.0
363,363,7,Dyson,45.0,bd.,2.5
365,365,3,Dyson,38.0,K,1.0
366,366,12,Samsung,44.0,K,1.5
368,368,7,Electrolux,34.0,K,3.0
369,369,3,Dyson,37.0,K,2.0
370,370,8,Beko,21.0,K,1.0
371,371,7,Electrolux,38.0,bd.,1.5
372,372,8,Dyson,27.0,bd.,4.5
373,373,7,Beko,36.0,bd.,2.0
376,376,11,Electrolux,32.0,K,4.0
377,377,6,Electrolux,43.0,K,2.5
378,378,5,Beko,44.0,M,3.0
379,379,8,Dyson,40.0,K,3.5
380,380,8,Beko,30.0,K,2.5
381,381,7,Dyson,18.0,M,2.5
382,382,8,Dyson,34.0,K,2.5
384,384,10,Beko,47.0,M,3.5
385,385,6,Samsung,41.0,K,1.5
386,386,8,Electrolux,48.0,K,1.5
387,387,5,Electrolux,34.0,M,1.5
388,388,4,Electrolux,42.0,bd.,2.0
389,389,3,Beko,30.0,bd.,1.5
390,390,8,Samsung,51.0,bd.,1.5
391,391,3,Beko,39.0,M,2.0
392,392,8,Electrolux,40.0,M,2.5
393,393,9,Beko,36.0,M,3.5
394,394,7,Beko,29.0,K,4.5
395,395,5,Beko,53.0,K,4.0
396,396,2,Beko,54.0,K,2.0
397,397,5,Dyson,51.0,bd.,3.0
400,400,6,Electrolux,37.0,M,2.5
402,402,7,Dyson,49.0,K,1.5
403,403,5,Tefal,38.0,K,1.5
404,404,7,Electrolux,37.0,K,1.5
405,405,5,Beko,47.0,K,1.5
406,406,7,Dyson,30.0,bd.,2.5
407,407,7,Dyson,21.0,M,1.0
408,408,10,Dyson,40.0,K,4.0
409,409,15,Dyson,36.0,K,1.5
410,410,10,Beko,45.0,M,1.0
411,411,4,Dyson,40.0,K,1.0
412,412,3,Electrolux,47.0,K,3.0
413,413,10,Dyson,53.0,M,0.0
415,415,9,Beko,41.0,M,2.0
416,416,10,Beko,38.0,M,1.5
417,417,7,Tefal,35.0,bd.,3.0
418,418,8,Electrolux,38.0,K,2.5
419,419,5,Tefal,61.0,bd.,3.0
420,420,5,Electrolux,28.0,M,2.0
421,421,7,Beko,35.0,K,2.5
422,422,4,Dyson,50.0,K,3.5
424,424,6,Dyson,37.0,bd.,3.0
425,425,5,Tefal,26.0,bd.,5.0
426,426,8,Beko,35.0,K,1.5
427,427,7,Dyson,48.0,bd.,2.5
428,428,4,Dyson,53.0,M,1.0
429,429,9,Beko,62.0,bd.,2.5
430,430,9,Dyson,28.0,M,2.0
431,431,9,Dyson,40.0,K,0.5
432,432,10,Electrolux,32.0,bd.,2.0
433,433,4,Tefal,21.0,bd.,3.5
434,434,7,Electrolux,42.0,K,3.0
435,435,7,Electrolux,38.0,K,2.5
436,436,6,Electrolux,33.0,K,3.0
438,438,13,Samsung,45.0,M,2.0
439,439,10,Beko,28.0,K,5.0
441,441,8,Dyson,56.0,M,4.5
442,442,9,Tefal,45.0,bd.,2.0
443,443,5,Beko,27.0,K,5.0
446,446,5,Tefal,36.0,bd.,2.0
447,447,8,Beko,21.0,K,2.0
449,449,8,Tefal,29.0,bd.,2.5
450,450,3,Electrolux,27.0,K,4.0
451,451,8,Dyson,41.0,bd.,1.0
452,452,11,Tefal,40.0,M,3.0
454,454,6,Electrolux,46.0,K,2.0
455,455,3,Dyson,34.0,M,2.0
456,456,8,Dyson,40.0,bd.,0.0
457,457,8,Electrolux,47.0,M,2.0
458,458,11,Electrolux,47.0,bd.,3.0
459,459,7,Dyson,46.0,K,2.5
460,460,4,Beko,48.0,K,2.5
461,461,6,Dyson,37.0,bd.,1.5
462,462,6,Samsung,34.0,M,2.0
464,464,7,Electrolux,40.0,M,2.5
465,465,8,Dyson,43.0,M,3.5
466,466,15,Samsung,40.0,M,1.5
467,467,8,Beko,21.0,K,2.0
468,468,6,Dyson,49.0,bd.,1.5
469,469,6,Beko,26.0,K,4.5
470,470,9,Electrolux,49.0,K,2.5
471,471,2,Beko,59.0,M,1.0
472,472,10,Dyson,28.0,K,4.0
473,473,5,Dyson,34.0,M,3.5
475,475,9,Dyson,19.0,K,1.5
477,477,11,Dyson,42.0,K,1.0
478,478,6,Tefal,28.0,bd.,3.5
479,479,8,Electrolux,48.0,K,0.5
480,480,5,Dyson,40.0,bd.,2.0
481,481,7,Electrolux,27.0,M,4.5
483,483,5,Beko,32.0,bd.,1.5
484,484,4,Tefal,37.0,K,2.5
485,485,5,Beko,24.0,bd.,2.5
486,486,2,Dyson,39.0,K,2.5
487,487,6,Electrolux,32.0,K,3.0
488,488,11,Tefal,30.0,bd.,1.5
489,489,7,Tefal,36.0,K,3.0
490,490,8,Electrolux,48.0,K,2.5
491,491,12,Electrolux,43.0,M,3.0
492,492,11,Tefal,42.0,bd.,3.0
493,493,7,Samsung,57.0,bd.,3.5
494,494,2,Dyson,59.0,M,2.0
495,495,6,Dyson,44.0,bd.,1.5
496,496,10,Beko,37.0,M,2.0
497,497,2,Electrolux,35.0,M,3.5
498,498,13,Tefal,51.0,K,4.0
499,499,8,Electrolux,44.0,bd.,1.5
500,500,7,Dyson,28.0,M,4.0
501,501,6,Dyson,27.0,bd.,2.5
502,502,9,Electrolux,49.0,K,3.0
503,503,7,Electrolux,29.0,K,2.5
505,505,4,Beko,39.0,bd.,3.5
506,506,11,Electrolux,50.0,M,3.0
507,507,9,Beko,47.0,K,1.0
508,508,7,Tefal,36.0,M,3.0
509,509,6,Electrolux,26.0,bd.,2.0
510,510,10,Electrolux,50.0,K,2.5
511,511,6,Tefal,33.0,bd.,3.0
514,514,7,Electrolux,19.0,K,5.0
515,515,4,Tefal,34.0,M,4.0
517,517,5,Electrolux,34.0,K,4.0
518,518,8,Dyson,39.0,K,2.0
519,519,11,Beko,40.0,bd.,1.5
520,520,4,Beko,24.0,K,2.5
521,521,3,Electrolux,42.0,K,5.0
522,522,15,Electrolux,35.0,bd.,4.0
524,524,4,Tefal,51.0,K,2.0
525,525,4,Dyson,36.0,bd.,3.0
526,526,6,Beko,18.0,M,3.5
527,527,8,Electrolux,43.0,K,2.0
528,528,5,Electrolux,30.0,K,3.0
529,529,5,Beko,47.0,K,1.0
